File_name,flash percent,flash,ram,Code,RO_data,RW_data,ZI_data
fdb_kvdb.o,15.737667%,12135,0,10588,1547,0,0
mc_w.l,8.974425%,6920,56,6820,88,12,44
at_function.o,5.798361%,4471,432,3146,941,384,48
cjson.o,5.348342%,4124,20,4062,50,12,8
uart.o,4.807543%,3707,4516,1324,47,2336,2180
kservice.o,4.636354%,3575,256,3156,419,0,256
fal_partition.o,4.396431%,3390,13,2096,1294,0,13
printfa.o,3.156611%,2434,0,2434,0,0,0
segger_rtt_printf.o,2.903719%,2239,0,2216,23,0,0
fdb_utils.o,2.820719%,2175,0,1060,1115,0,0
mf_w.l,2.591171%,1998,0,1998,0,0,0
hmac_sha1.o,2.165793%,1670,0,1670,0,0,0
fdb.o,1.862323%,1436,1,920,516,0,1
base64.o,1.701510%,1312,0,1120,192,0,0
onenet.o,1.580899%,1219,0,1004,215,0,0
timer.o,1.486227%,1146,12,1146,0,0,12
thread.o,1.359133%,1048,0,1048,0,0,0
stm32f10x_usart.o,1.283913%,990,0,990,0,0,0
stm32f10x_rcc.o,1.162006%,896,0,876,20,0,0
scanf_fp.o,1.138663%,878,0,878,0,0,0
segger_rtt.o,1.107538%,854,4280,828,26,0,4280
_scanf.o,1.053068%,812,0,812,0,0,0
stm32f10x_adc.o,1.029725%,794,0,794,0,0,0
adc.o,1.008974%,778,684,766,8,4,680
cpuport.o,0.985631%,760,16,484,276,0,16
ds18b20.o,0.979146%,755,1156,736,19,0,1156
scheduler.o,0.941537%,726,275,726,0,0,275
board.o,0.915599%,706,0,706,0,0,0
myrtc.o,0.888364%,685,400,538,131,16,384
user_db.o,0.836489%,645,890,286,347,12,878
stm32f10x_dma.o,0.814442%,628,0,628,0,0,0
fal_flash.o,0.732738%,565,1,436,129,0,1
stm32f10x_flash.o,0.664004%,512,0,512,0,0,0
stm32f10x_gpio.o,0.625097%,482,0,482,0,0,0
object.o,0.601753%,464,112,352,0,112,0
fal_flash_stm32f1_port.o,0.601753%,464,12,408,56,0,12
main.o,0.534316%,412,4,290,122,0,4
system_stm32f10x.o,0.523940%,404,4,400,0,4,0
mallocr.o,0.466878%,360,0,360,0,0,0
fal.o,0.462987%,357,1,194,163,0,1
_scanf_longlong.o,0.443534%,342,0,342,0,0,0
startup_stm32f103xe.o,0.440940%,340,6144,36,304,0,6144
dadd.o,0.433159%,334,0,334,0,0,0
_scanf_int.o,0.430565%,332,0,332,0,0,0
gpio.o,0.386471%,298,4,248,50,0,4
components.o,0.365721%,282,640,266,16,0,640
context_rvds.o,0.316439%,244,0,244,0,0,0
stm32f10x_rtc.o,0.303470%,234,0,234,0,0,0
dmul.o,0.295689%,228,0,228,0,0,0
_scanf_str.o,0.290502%,224,0,224,0,0,0
ddiv.o,0.287908%,222,0,222,0,0,0
sys.o,0.254189%,196,0,192,4,0,0
misc.o,0.251595%,194,0,194,0,0,0
