File_name,ram_percent,ram,flash,Code,RO_data,RW_data,ZI_data
segger_rtt.o,21.664305%,4280,854,828,26,0,4280
startup_stm32f10x_md.o,20.732943%,4096,272,36,236,0,4096
at_task.o,17.837620%,3524,251,206,21,24,3500
oled.o,9.070662%,1792,1892,1834,58,0,1792
uart.o,8.402511%,1660,1477,1314,43,120,1540
ds18b20.o,5.851387%,1156,755,736,19,0,1156
adc.o,3.462239%,684,778,766,8,4,680
components.o,3.239522%,640,282,266,16,0,640
at_function.o,2.186677%,432,4155,2812,959,384,48
myrtc.o,2.024701%,400,685,538,131,16,384
scheduler.o,1.391982%,275,726,726,0,0,275
kservice.o,1.295809%,256,3575,3156,419,0,256
idle.o,1.295809%,256,92,86,6,0,256
object.o,0.566916%,112,464,352,0,112,0
mc_w.l,0.263211%,52,6860,6764,88,8,44
localtime_w.o,0.222717%,44,12,12,0,0,44
mpu6050.o,0.101235%,20,0,0,0,0,20
cjson.o,0.101235%,20,4130,4062,56,12,8
cpuport.o,0.080988%,16,760,484,276,0,16
timer.o,0.060741%,12,1146,1146,0,0,12
mvars.o,0.040494%,8,8,0,0,8,0
system_stm32f10x.o,0.020247%,4,404,400,0,4,0
mb.o,0.020247%,4,0,0,0,0,4
main.o,0.020247%,4,412,290,122,0,4
gpio.o,0.020247%,4,298,248,50,0,4
clock.o,0.020247%,4,170,170,0,0,4
irq.o,0.005062%,1,68,68,0,0,1
